Timestamp,Distance,Category
1856223,200.0,0
1856424,200.0,0
1856625,200.0,0
1856826,200.0,0
1857027,200.0,0
1857228,200.0,0
1857429,157.69,0
1857630,200.0,0
1857831,70.9,0
1858032,131.24,0
1858233,200.0,0
1858434,96.77,0
1858635,101.3,0
1858836,91.91,0
1859037,62.88,0
1859238,56.27,0
1859439,45.15,0
1859640,48.42,0
1859841,28.82,0
1860042,13.32,0
1860243,9.5,0
1860444,7.19,0
1860645,6.87,0
1860846,6.55,0
1861047,5.43,0
1861248,5.92,0
1861449,6.4,0
1861650,7.84,0
1861851,10.72,0
1862052,12.1,0
1862253,26.3,0
1862454,39.49,0
1862655,27.77,0
1862856,18.32,0
1863057,23.53,0
1863258,33.29,1
1863459,23.82,1
1863660,28.34,1
1863861,35.31,1
1864062,30.04,1
1864263,29.08,1
1864464,24.39,1
1864665,23.97,1
1864866,19.55,1
1865067,17.95,1
1865268,26.98,1
1865469,40.3,1
1865670,41.33,1
1865871,13.91,1
1866072,6.72,1
1866273,6.23,1
1866474,5.75,1
1866675,2.8,1
1866876,39.37,1
1867077,39.84,1
1867278,39.84,1
1867479,39.27,1
1867680,41.09,1
1867881,42.71,1
1868082,43.04,1
1868283,43.76,1
1868484,47.73,1
1868685,46.63,0
1868886,48.22,0
1869087,49.11,0
1869288,50.58,0
1869489,58.85,0
1869690,64.28,0
1869891,72.48,0
1870092,87.98,0
1870293,107.16,0
1870495,125.55,0
1870696,128.16,0
1870897,139.82,0
1871098,147.61,0
1871299,157.98,0
1871500,200.0,0
1871701,200.0,0
1871902,200.0,0
1872103,200.0,0
1872304,200.0,0
1872517,200.0,0
1872718,200.0,0
1872919,200.0,0
1873120,200.0,0
1873321,200.0,0
1873522,200.0,0
1873723,200.0,0
1873924,200.0,0
1874125,200.0,0
1874326,200.0,0
1874527,200.0,0
1874728,200.0,0
1874929,200.0,0
1875130,200.0,0
1875342,200.0,0
1875543,200.0,0
1875744,200.0,0
1875945,123.06,0
1876146,116.76,0
1876347,104.26,0
1876555,97.15,0
1876756,78.96,0
1876957,73.64,0
1877158,74.88,0
1877359,75.63,0
1877560,81.74,0
1877761,91.99,0
1877962,99.65,0
1878170,103.65,0
1878371,107.93,0
1878572,109.97,0
1878773,118.66,0
1878974,132.92,0
1879175,137.58,0
1879381,145.41,0
1879583,149.06,0
1879784,156.96,0
1879985,83.1,0
1880186,200.0,0
1880393,200.0,0
1880594,200.0,0
1880795,200.0,0
1880996,200.0,0
1881197,200.0,0
1881398,200.0,0
1881599,200.0,0
1881800,200.0,0
1882001,200.0,0
1882202,200.0,0
1882403,200.0,0
1882604,200.0,0
1882805,81.33,0
1883006,200.0,0
1883213,142.96,0
1883414,200.0,0
1883615,124.58,0
1883816,118.61,0
1884017,56.4,0
1884218,50.6,0
1884425,88.35,0
1884626,82.94,0
1884827,79.08,0
1885028,76.15,0
1885229,82.15,0
1885430,92.03,0
1885631,99.82,0
1885832,113.97,0
1886033,116.54,0
1886234,127.36,0
1886435,132.83,0
1886636,69.17,0
1886837,135.54,0
1887045,120.33,0
1887246,108.21,0
1887447,91.76,0
1887648,65.87,1
1887849,34.24,1
1888050,20.55,1
1888251,5.75,1
1888452,19.49,1
1888653,3.99,1
1888854,2.54,1
1889055,3.19,1
1889256,4.46,1
1889457,3.34,1
1889658,3.5,1
1889859,3.83,1
1890060,31.59,1
1890261,30.17,1
1890462,4.79,1
1890663,16.29,1
1890864,7.03,1
1891065,41.85,1
1891266,8.32,1
1891467,11.07,1
1891668,30.59,1
1891869,38.22,1
1892070,33.47,1
1892271,31.89,1
1892472,64.45,1
1892673,55.38,0
1892874,85.97,0
1893075,69.73,0
1893276,100.27,0
1893477,108.43,0
1893678,118.45,0
1893879,129.79,0
1894080,138.55,0
1894281,147.53,0
1894482,160.25,0
1894683,200.0,0
1894884,200.0,0
1895085,200.0,0
1895286,200.0,0
1895487,200.0,0
1895688,200.0,0
1895897,200.0,0
1896098,200.0,0
1896299,200.0,0
1896500,200.0,0
1896701,200.0,0
1896914,200.0,0
1897115,200.0,0
1897316,200.0,0
1897517,200.0,0
1897718,200.0,0
1897919,200.0,0
1898120,200.0,0
1898321,200.0,0
1898522,200.0,0
1898723,200.0,0
1898924,200.0,0
1899125,159.56,0
1899326,200.0,0
1899527,143.8,0
1899728,134.05,0
1899929,113.71,0
1900130,114.43,0
1900331,75.73,0
1900532,71.59,0
1900733,54.69,1
1900934,43.92,1
1901135,13.63,1
1901336,26.55,1
1901537,200.0,1
1901738,2.31,1
1901939,70.55,1
1902140,6.72,1
1902341,12.45,1
1902542,24.83,1
1902743,33.65,1
1902944,40.3,1
1903145,37.9,1
1903346,36.64,1
1903547,35.05,1
1903748,35.44,1
1903949,36.64,1
1904150,32.61,1
1904351,24.9,1
1904552,22.86,1
1904753,36.19,1
1904954,33.91,1
1905155,33.17,1
1905356,21.75,1
1905557,41.86,1
1905758,43.08,1
1905959,43.37,1
1906160,47.93,1
1906361,45.59,1
1906562,42.08,1
1906763,24.25,1
1906964,43.16,1
1907165,38.01,1
1907366,24.24,1
1907567,22.67,1
1907768,30.95,1
1907969,32.09,1
1908170,16.69,1
1908371,17.48,1
1908572,17.95,1
1908773,17.01,1
1908974,26.87,1
1909175,38.93,1
1909376,19.22,1
1909577,20.8,1
1909778,24.24,1
1909979,36.26,1
1910180,43.39,1
1910381,44.52,1
1910582,58.49,1
1910783,71.98,1
1910984,72.05,0
1911185,78.58,0
1911386,83.5,0
1911587,93.84,0
1911788,100.44,0
1911989,107.7,0
1912190,123.5,0
1912391,126.58,0
1912592,136.25,0
1912793,75.74,0
1912994,155.89,0
1913195,163.11,0
1913396,200.0,0
1913597,200.0,0
1913798,200.0,0
1913999,200.0,0
1914211,200.0,0
1914412,200.0,0
1914613,200.0,0
1914814,200.0,0
1915015,200.0,0
1915216,200.0,0
1915417,200.0,0
1915618,200.0,0
1915819,200.0,0
1916020,200.0,0
1916221,200.0,0
1916422,200.0,0
1916623,200.0,0
1916824,200.0,0
1917036,200.0,0
1917237,200.0,0
1917438,200.0,0
1917639,200.0,0
1917840,200.0,0
1918053,200.0,0
1918254,200.0,0
1918455,200.0,0
1918656,200.0,0
1918857,200.0,0
1919070,200.0,0
1919271,200.0,0
1919472,200.0,0
1919673,200.0,0
1919874,200.0,0
1920087,200.0,0
